date,value
1971-07-01,423
1971-08-01,401
1971-09-01,383
1971-10-01,359
1971-11-01,378
1971-12-01,378
1972-01-01,379
1972-02-01,379
1972-03-01,418
1972-04-01,434
1972-05-01,437
1972-06-01,413
1972-07-01,406
1972-08-01,454
1972-09-01,483
1972-10-01,494
1972-11-01,511
1972-12-01,511
1973-01-01,560
1973-02-01,529
1973-03-01,551
1973-04-01,506
1973-05-01,545
1973-06-01,555
1973-07-01,540
1973-08-01,547
1973-09-01,555
1973-10-01,585
1973-11-01,567
1973-12-01,563
1974-01-01,546
1974-02-01,613
1974-03-01,532
1974-04-01,530
1974-05-01,642
1974-06-01,592
1974-07-01,622
1974-08-01,626
1974-09-01,733
1974-10-01,674
1974-11-01,707
1974-12-01,755
1975-01-01,710
1975-02-01,768
1975-03-01,703
1975-04-01,779
1975-05-01,788
1975-06-01,806
1975-07-01,769
1975-08-01,797
1975-09-01,700
1975-10-01,769
1975-11-01,734
1975-12-01,758
1976-01-01,772
1976-02-01,791
1976-03-01,860
1976-04-01,923
1976-05-01,758
1976-06-01,975
1976-07-01,965
1976-08-01,959
1976-09-01,998
1976-10-01,923
1976-11-01,957
1976-12-01,907
1977-01-01,1020
1977-02-01,951
1977-03-01,967
1977-04-01,1017
1977-05-01,994
1977-06-01,983
1977-07-01,969
1977-08-01,1035
1977-09-01,1014
1977-10-01,1010
1977-11-01,1069
1977-12-01,1067
1978-01-01,959
1978-02-01,996
1978-03-01,987
1978-04-01,1037
1978-05-01,969
1978-06-01,1091
1978-07-01,1091
1978-08-01,999
1978-09-01,989
1978-10-01,1059
1978-11-01,1163
1978-12-01,1153
1979-01-01,1251
1979-02-01,1215
1979-03-01,1233
1979-04-01,1286
1979-05-01,1413
1979-06-01,1356
1979-07-01,1394
1979-08-01,1356
1979-09-01,1480
1979-10-01,1670
1979-11-01,1679
1979-12-01,1596
1980-01-01,1638
1980-02-01,1690
1980-03-01,1631
1980-04-01,1600
1980-05-01,1484
1980-06-01,1760
1980-07-01,1624
1980-08-01,1451
1980-09-01,1542
1980-10-01,1570
1980-11-01,1623
1980-12-01,1568
1981-01-01,1704
1981-02-01,1577
1981-03-01,1528
1981-04-01,1681
1981-05-01,1644
1981-06-01,1634
1981-07-01,1456
1981-08-01,1620
1981-09-01,1620
1981-10-01,1479
1981-11-01,1530
1981-12-01,1501
1982-01-01,1574
1982-02-01,1715
1982-03-01,1758
1982-04-01,1700
